Exception in thread Thread-1:
Traceback (most recent call last):
  File "/usr/lib/python3.9/threading.py", line 954, in _bootstrap_inner
  File "/usr/lib/python3.9/threading.py", line 892, in run
  File "/home/userland/projects/bots/jarvis_portable_2026-03-24/enterprise_server.py", line 757, in <lambda>
  File "/home/userland/projects/bots/jarvis_portable_2026-03-24/enterprise_server.py", line 764, in _heartbeat_loop
  File "/usr/lib/python3.9/pathlib.py", line 1274, in write_text
  File "/usr/lib/python3.9/pathlib.py", line 1241, in open
  File "/usr/lib/python3.9/pathlib.py", line 1109, in _opener
OSError: [Errno 38] Function not implemented: '/home/userland/projects/bots/jarvis_portable_2026-03-24/enterprise_server.heartbeat'
[2026-03-29 01:27:01] job=229cb05e57c2637a done rc=0
[2026-03-29 01:28:32] job=d56125b6ba14848c done rc=0
[2026-03-29 01:35:55] job=fe7d6141416adc98 done rc=0
[2026-03-29 01:38:12] job=d64d7caa9f6c372c done rc=0
[2026-03-29 01:44:53] job=d1ea058087a06814 done rc=0
[2026-03-29 02:15:28] job=32221d9a0d9651bb done rc=0
[2026-03-29 02:23:04] job=13b7e3be71a49c1e done rc=0
[2026-03-29 02:42:50] job=ba9362d64105e68e done rc=0
[2026-03-29 02:49:34] job=76c7b7b10ad99369 done rc=1
[2026-03-29 02:54:58] job=c049e93d45d79cf1 done rc=0
[2026-03-29 03:01:49] job=89065f06226966bf done rc=0
[2026-03-29 03:10:33] job=a7f882579d9118e0 done rc=0
[2026-03-29 03:15:24] job=800c26178a5dc378 done rc=0
[2026-03-29 03:29:02] job=641ad464f45ceed8 done rc=0
[2026-03-29 03:31:51] job=8081bf2ad6734363 done rc=0
[2026-03-29 03:36:03] job=48afcdc32c3eab54 done rc=0
[2026-03-29 03:37:24] job=58cabc47583768f6 done rc=0
[2026-03-29 03:44:40] job=b77afa6f12dda4ef done rc=0
[2026-03-29 03:48:27] job=5d304aab13ba5b2c done rc=0
[2026-03-29 03:51:50] job=89131b57d38182ed done rc=0
[2026-03-29 04:06:21] job=5ac282eb1a3c2a71 done rc=0
[2026-03-29 04:13:35] job=5407d7c049b0bf18 done rc=0
[2026-03-29 04:34:26] job=631348326ac75718 done rc=0
[2026-03-29 04:36:46] job=f38cfdf55c64a9a0 done rc=0
[2026-03-29 04:39:28] job=485fe1bb4d0acf86 done rc=0
[2026-03-29 05:00:12] job=ffc13c288a6f4773 done rc=0
[2026-03-29 05:02:47] job=c84a7167101b65a3 done rc=0
[2026-03-29 05:05:04] job=d6dfe740e79929c6 done rc=0
[2026-03-29 05:06:43] job=a2c5f9f0ee206d94 done rc=0
[2026-03-29 05:06:52] job=b02f946a4abeecf1 done rc=0
[2026-03-29 05:12:02] job=54569718a7ee0b3c done rc=0
[2026-03-29 05:14:04] job=4d613338222a86fa done rc=0
[2026-03-29 05:15:39] job=3ad01c0c880ec267 done rc=0
[2026-03-29 05:21:04] job=40e59311aab62754 done rc=0
[2026-03-29 05:23:20] job=913ef7c203cda369 done rc=0
[2026-03-29 05:25:02] job=36d48b7c533b73a9 done rc=0
[2026-03-29 05:30:00] job=75f7e21d18c2aa2e done rc=0
[2026-03-29 05:37:49] job=3f4de294e6e9d38a done rc=0
[2026-03-29 05:41:32] job=3f1f19fb6e218814 done rc=0
[2026-03-29 05:43:38] job=b1b1f15b097577c4 done rc=0
[2026-03-29 05:44:37] job=5efb9a5db36b63e8 done rc=0
[2026-03-29 05:46:41] job=fc2c9155cbbdeb08 done rc=0
[2026-03-29 05:47:45] job=79fa3cfe80c9c6e9 done rc=0
[2026-03-29 06:01:07] job=f38b8d278b3a8f77 done rc=0
[2026-03-29 06:10:41] job=461f2c66d50ca42a done rc=0
[2026-03-29 06:14:15] job=d016269a80da99f2 done rc=0
[2026-03-29 06:17:08] job=511cd651cbc7602a done rc=0
[2026-03-29 06:18:31] job=11bb40fc18a86c36 done rc=0
[2026-03-29 06:21:03] job=99255d78caa361fc done rc=0
[2026-03-29 06:27:33] job=6c0b197912ab0bbb done rc=0
[2026-03-29 06:34:30] job=12fd1e06079d6374 done rc=0
[2026-03-29 06:40:38] job=f3bca8d8d2f70b64 done rc=0
[2026-03-29 06:41:46] job=7bb57addcfcc4453 done rc=0
[2026-03-29 06:42:38] job=0ff552bde8371462 done rc=0
[2026-03-29 07:01:33] job=3a9a5a04c634528d done rc=0
[2026-03-29 07:01:43] job=2c33cc243f10f875 done rc=0
[2026-03-29 07:04:16] job=1cd9c40fa50ac373 done rc=0
[2026-03-29 07:04:24] job=6ebd95eadaf2f1fa done rc=0
[2026-03-29 07:06:31] job=41edd49f47f39304 done rc=0
[2026-03-29 07:06:42] job=b6d9bef2ab0a3fd8 done rc=0
[2026-03-29 07:10:32] job=1ed44d3aeda88ae6 done rc=0
[2026-03-29 07:13:24] job=cec3433e0456251d done rc=0
[2026-03-29 07:17:26] job=c1278250965bf9d3 done rc=0
[2026-03-29 07:18:23] job=dc97687f80437d18 done rc=0
[2026-03-29 07:20:17] job=419171cc8b2e3ca2 done rc=0
[2026-03-29 07:21:20] job=65da68d3c653b1fe done rc=0
[2026-03-29 07:22:08] job=fdc7da5bf431d396 done rc=0
[2026-03-29 07:26:42] job=e6a458d701518e35 done rc=0
[2026-03-29 07:26:55] job=9d2ab7365fce585d done rc=0
[2026-03-29 07:30:56] job=cd923028ca197268 done rc=0
[2026-03-29 07:31:09] job=59b6fe2c16d5a7d3 done rc=0
[2026-03-29 07:32:57] job=e6dfc9f479864c27 done rc=0
[2026-03-29 07:33:11] job=b3741195687f70c5 done rc=0
[2026-03-29 07:35:49] job=e641d8aba85f3e72 done rc=0
[2026-03-29 07:36:01] job=1c6d7219056acb4a done rc=0
[2026-03-29 07:37:14] job=d8ba6c6a9cb3fb9e done rc=0
[2026-03-29 07:37:26] job=dfaa4c84c3dd9236 done rc=0
[2026-03-29 07:38:38] job=3b4f35c2c296555c done rc=0
[2026-03-29 07:39:47] job=c06f6983e37023a6 done rc=0
[2026-03-29 07:39:59] job=fef224f3851540e3 done rc=0
[2026-03-29 07:41:19] job=e7673606d98d3fea done rc=0
[2026-03-29 07:41:35] job=1ffc03faa9fcc402 done rc=0
[2026-03-29 07:42:55] job=68ad69e01026fda8 done rc=0
[2026-03-29 07:43:05] job=4ca62dc0e3a4e57b done rc=0
[2026-03-29 07:45:32] job=80ab374f5981c828 done rc=0
[2026-03-29 07:45:50] job=57c39eb038a63534 done rc=0
[2026-03-29 07:53:10] job=c7da262d05e6ed20 done rc=0
[2026-03-29 07:56:58] job=04efc62e52f95f4c done rc=1
[2026-03-29 07:57:04] job=94360bcbb04c2e86 done rc=1
[2026-03-29 07:59:47] job=bd51743d9b6fdfe2 done rc=1
[2026-03-29 07:59:54] job=9e7a27de35041cfd done rc=1
[2026-03-29 17:31:19] job=4b64c431853cff45 done rc=0
[2026-03-29 17:31:20] job=122dbc87865e0f71 done rc=0
[2026-03-29 17:31:22] job=28357b41c929560b done rc=0
[2026-03-29 17:31:29] job=80997abd0293b51c done rc=0
[2026-03-29 17:31:42] job=32e2173d51aef7b7 done rc=0
[2026-03-29 17:37:12] job=020dddd4e808f871 done rc=0
[2026-03-29 17:38:29] job=5615b7af471da754 done rc=0
[2026-03-29 17:38:41] job=6fb9a30af7d7a780 done rc=0
[2026-03-29 17:39:53] job=71abf572e450a1ef done rc=0
[2026-03-29 17:40:14] job=01400cf5b17252ac done rc=0
[2026-03-29 17:40:48] job=d039777ea76e6984 done rc=0
[2026-03-29 17:41:54] job=5cb279cb98866fd8 done rc=0
[2026-03-29 17:42:08] job=a3a545014be86526 done rc=0
[2026-03-29 17:58:08] job=d06a0b287af8e492 done rc=0
[2026-03-29 18:01:38] job=14b5172882b37838 done rc=0
[2026-03-29 18:04:53] job=ca933e8d9355090b done rc=0
[2026-03-29 18:08:54] job=4d3a8b5eb3606525 done rc=0
[2026-03-29 18:11:15] job=49fee335d4cc13b0 done rc=0
[2026-03-29 18:14:12] job=1b49c02321e04ee3 done rc=0
[2026-03-29 18:14:40] job=40285701bbe9e7fa done rc=0
[2026-03-29 18:18:16] job=7dc318dfaccfd429 done rc=0
[2026-03-29 18:21:33] job=486e029fe6bb2c3f done rc=0
[2026-03-29 19:24:18] job=04215642895a91a5 done rc=0
