[2026-03-28 22:39:59] enterprise supervisor init
[2026-03-28 22:39:59] launching enterprise_server.py
[2026-03-28 22:40:01] enterprise server healthy after launch, waiting 5s
[2026-03-28 22:40:06] enterprise server already healthy, waiting 5s
[2026-03-28 22:40:11] enterprise server already healthy, waiting 5s
[2026-03-28 22:40:17] enterprise server already healthy, waiting 5s
[2026-03-28 22:40:22] enterprise server already healthy, waiting 5s
[2026-03-28 22:40:28] enterprise server already healthy, waiting 5s
[2026-03-28 22:40:33] enterprise server already healthy, waiting 5s
[2026-03-28 22:40:38] enterprise server already healthy, waiting 5s
[2026-03-28 22:40:44] enterprise server already healthy, waiting 5s
[2026-03-28 22:40:49] enterprise server already healthy, waiting 5s
[2026-03-28 22:40:54] enterprise server already healthy, waiting 5s
[2026-03-28 22:41:00] enterprise server already healthy, waiting 5s
[2026-03-28 22:41:05] enterprise server already healthy, waiting 5s
[2026-03-28 22:41:10] enterprise server already healthy, waiting 5s
[2026-03-28 22:41:15] enterprise server already healthy, waiting 5s
[2026-03-28 22:41:21] enterprise server already healthy, waiting 5s
[2026-03-28 22:41:26] enterprise server already healthy, waiting 5s
[2026-03-28 22:41:31] enterprise server already healthy, waiting 5s
[2026-03-28 22:41:36] enterprise server already healthy, waiting 5s
[2026-03-28 22:41:42] enterprise server already healthy, waiting 5s
[2026-03-28 22:41:47] enterprise server already healthy, waiting 5s
[2026-03-28 22:41:52] enterprise server already healthy, waiting 5s
[2026-03-28 22:41:57] enterprise server already healthy, waiting 5s
[2026-03-28 22:42:02] enterprise server already healthy, waiting 5s
[2026-03-28 22:42:08] enterprise server already healthy, waiting 5s
[2026-03-28 22:42:13] enterprise server already healthy, waiting 5s
[2026-03-28 22:42:18] enterprise server already healthy, waiting 5s
[2026-03-28 22:42:23] enterprise server already healthy, waiting 5s
[2026-03-28 22:42:29] enterprise server already healthy, waiting 5s
[2026-03-28 22:42:34] enterprise server already healthy, waiting 5s
[2026-03-28 22:42:40] enterprise server already healthy, waiting 5s
[2026-03-28 22:42:45] enterprise server already healthy, waiting 5s
[2026-03-28 22:42:51] enterprise server already healthy, waiting 5s
[2026-03-28 22:42:56] enterprise server already healthy, waiting 5s
[2026-03-28 22:43:01] enterprise server already healthy, waiting 5s
[2026-03-28 22:43:07] enterprise server already healthy, waiting 5s
[2026-03-28 22:43:12] enterprise server already healthy, waiting 5s
[2026-03-28 22:43:17] enterprise server already healthy, waiting 5s
[2026-03-28 22:43:23] enterprise server already healthy, waiting 5s
[2026-03-28 22:43:28] enterprise server already healthy, waiting 5s
[2026-03-28 22:43:33] enterprise server already healthy, waiting 5s
[2026-03-28 22:43:38] enterprise server already healthy, waiting 5s
[2026-03-28 22:43:44] enterprise server already healthy, waiting 5s
[2026-03-28 22:43:49] enterprise server already healthy, waiting 5s
[2026-03-28 22:43:54] enterprise server already healthy, waiting 5s
[2026-03-28 22:43:59] enterprise server already healthy, waiting 5s
[2026-03-28 22:44:05] enterprise server already healthy, waiting 5s
[2026-03-28 22:44:10] enterprise server already healthy, waiting 5s
[2026-03-28 22:44:15] enterprise server already healthy, waiting 5s
[2026-03-28 22:44:20] enterprise server already healthy, waiting 5s
[2026-03-28 22:44:26] enterprise server already healthy, waiting 5s
[2026-03-28 22:44:31] enterprise server already healthy, waiting 5s
[2026-03-28 22:44:36] enterprise server already healthy, waiting 5s
[2026-03-28 22:44:41] enterprise server already healthy, waiting 5s
[2026-03-28 22:44:46] enterprise server already healthy, waiting 5s
[2026-03-28 22:44:52] enterprise server already healthy, waiting 5s
[2026-03-28 22:44:57] enterprise server already healthy, waiting 5s
[2026-03-28 22:45:02] enterprise server already healthy, waiting 5s
[2026-03-28 22:45:07] enterprise server already healthy, waiting 5s
[2026-03-28 22:45:13] enterprise server already healthy, waiting 5s
[2026-03-28 22:45:18] enterprise server already healthy, waiting 5s
[2026-03-28 22:45:23] enterprise server already healthy, waiting 5s
[2026-03-28 22:45:29] enterprise server already healthy, waiting 5s
[2026-03-28 22:45:34] enterprise server already healthy, waiting 5s
[2026-03-28 22:45:40] enterprise server already healthy, waiting 5s
[2026-03-28 22:45:45] enterprise server already healthy, waiting 5s
[2026-03-28 22:45:50] enterprise server already healthy, waiting 5s
[2026-03-28 22:45:56] enterprise server already healthy, waiting 5s
[2026-03-28 22:46:01] enterprise server already healthy, waiting 5s
[2026-03-28 22:46:06] enterprise server already healthy, waiting 5s
[2026-03-28 22:46:12] enterprise server already healthy, waiting 5s
[2026-03-28 22:46:17] enterprise server already healthy, waiting 5s
[2026-03-28 22:46:22] enterprise server already healthy, waiting 5s
[2026-03-28 22:46:28] enterprise server already healthy, waiting 5s
